version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58984 22 6 2 104 1777093029 1777093059 REJECT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 59001 80 6 1 52 1777093029 1777093059 REJECT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58861 80 6 2 104 1777093029 1777093059 REJECT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58847 5432 6 14 2720 1777093029 1777093059 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58859 22 6 2 104 1777093029 1777093059 REJECT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58869 5432 6 14 2720 1777093029 1777093059 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58765 6 14 4884 1777093029 1777093059 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58933 22 6 2 104 1777093029 1777093059 REJECT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58926 80 6 2 104 1777093029 1777093059 REJECT OK
2 560205084868 eni-086e771b77c2495ae 194.87.190.127 10.0.1.149 38294 5432 6 6 361 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58830 5432 6 13 2714 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58980 6 15 4924 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58874 5432 6 14 2720 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58946 6 15 4924 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58985 6 16 4964 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58871 5432 6 13 2714 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58879 5432 6 13 2714 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58983 6 16 4964 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58838 5432 6 14 2720 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 194.87.190.127 5432 38274 6 5 431 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58941 6 15 4924 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58943 6 13 5176 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 35.203.211.102 10.0.1.149 51610 7 6 1 44 1777093058 1777093089 REJECT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58818 6 16 4964 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58911 5432 6 14 2720 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58943 5432 6 13 2714 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58954 5432 6 14 2720 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58997 5432 6 14 2720 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58896 6 15 4924 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58985 5432 6 14 2720 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58898 6 16 4964 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58941 5432 6 14 2720 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 194.87.190.127 10.0.1.149 38130 5432 6 5 309 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58989 6 15 4924 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58983 5432 6 14 2720 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58951 5432 6 13 2714 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58906 6 15 4924 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 66.132.186.21 10.0.1.149 24780 18244 6 1 60 1777093058 1777093089 REJECT OK
2 560205084868 eni-086e771b77c2495ae 194.87.190.127 10.0.1.149 38136 5432 6 6 361 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58913 6 16 4964 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58917 6 15 4924 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58911 6 15 4924 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58877 5432 6 14 2720 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58823 5432 6 14 2720 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58980 5432 6 14 2720 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58822 5432 6 13 2714 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58822 6 13 5176 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58802 5432 6 14 2720 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58970 6 15 4924 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58935 6 15 4924 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 194.87.190.127 5432 38202 6 5 431 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58825 5432 6 14 2720 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58828 5432 6 14 2720 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 194.87.190.127 5432 38130 6 5 431 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 194.87.190.127 10.0.1.149 38202 5432 6 6 361 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58825 6 15 4924 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 143.42.173.60 10.0.1.149 43205 30010 6 1 44 1777093058 1777093089 REJECT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58901 5432 6 14 2720 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58884 6 15 4924 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58925 5432 6 14 2720 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58989 5432 6 14 2720 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58968 5432 6 14 2720 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58903 5432 6 13 2714 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58946 5432 6 13 2680 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58891 6 15 4924 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58906 5432 6 14 2720 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 194.87.190.127 5432 38116 6 5 431 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58862 6 13 5176 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58997 6 15 4924 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58880 6 15 4924 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58855 6 13 5176 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58901 6 15 4924 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58877 6 15 4924 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58963 6 15 4924 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58965 6 15 4924 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 194.87.190.127 10.0.1.149 38274 5432 6 6 361 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58896 5432 6 14 2720 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58891 5432 6 14 2720 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58830 6 13 5176 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58925 6 15 4924 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 194.87.190.127 10.0.1.149 38116 5432 6 6 361 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58893 5432 6 14 2720 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 104.237.156.209 10.0.1.149 49171 995 6 1 44 1777093058 1777093089 REJECT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58818 5432 6 14 2720 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58838 6 16 4964 1777093058 1777093089 ACCEPT OK
